       1024,         8,     9.2673,  23.73%
       1024,        32,     7.7201,  23.73%
       1024,       128,     7.6573,  21.88%
       4096,         8,    36.1480,  22.31%
       4096,        32,    40.0000,  21.88%
       4096,       128,    37.8698,  22.61%
      16384,         8,   147.9341,  22.55%
      16384,        32,   142.6184,  22.77%
      16384,       128,   171.9852,  22.03%
      65536,         8,   456.7350,  22.88%
      65536,        32,   514.4436,  22.47%
      65536,       128,   619.2924,  22.57%
     262144,         8,   774.5839,  22.30%
     262144,        32,  1364.1965,  22.59%
     262144,       128,  1451.4528,  22.43%
    1048576,         8,   992.9095,  22.49%
    1048576,        32,  2411.0073,  22.55%
    1048576,       128,  3759.9541,  22.53%
    2097152,         8,  1065.1064,  22.48%
    2097152,        32,  3298.5707,  22.52%
    2097152,       128,  4681.8117,  22.54%
    4194304,         8,  1093.9897,  22.53%
    4194304,        32,  3755.7523,  22.49%
    4194304,       128,  6031.5677,  22.51%
